电压 (mV),电流 (mA),容量 (mAh),工步号,工步名称
3304,5997,0,1,恒流恒压充电
3317,5999,4,1,恒流恒压充电
3325,5999,9,1,恒流恒压充电
3331,5999,14,1,恒流恒压充电
3335,5999,19,1,恒流恒压充电
3344,5999,39,1,恒流恒压充电
3340,5999,29,1,恒流恒压充电
3342,5999,34,1,恒流恒压充电
3345,5999,44,1,恒流恒压充电
3347,5999,49,1,恒流恒压充电
3348,5999,54,1,恒流恒压充电
3349,5999,59,1,恒流恒压充电
3350,5999,64,1,恒流恒压充电
3351,5999,69,1,恒流恒压充电
3352,5999,74,1,恒流恒压充电
3352,5999,79,1,恒流恒压充电
3353,5999,84,1,恒流恒压充电
3353,5999,89,1,恒流恒压充电
3354,5999,94,1,恒流恒压充电
3355,5999,99,1,恒流恒压充电
3355,5999,104,1,恒流恒压充电
3355,5999,109,1,恒流恒压充电
3356,5999,114,1,恒流恒压充电
3356,5999,119,1,恒流恒压充电
3357,5999,124,1,恒流恒压充电
3357,5999,129,1,恒流恒压充电
3357,5999,134,1,恒流恒压充电
3358,5999,139,1,恒流恒压充电
3358,5999,144,1,恒流恒压充电
3358,5999,149,1,恒流恒压充电
3358,5999,154,1,恒流恒压充电
3359,5999,159,1,恒流恒压充电
3359,5999,164,1,恒流恒压充电
3359,5999,169,1,恒流恒压充电
3360,5999,174,1,恒流恒压充电
3360,5999,179,1,恒流恒压充电
3360,5999,184,1,恒流恒压充电
3360,5999,189,1,恒流恒压充电
3360,5999,194,1,恒流恒压充电
3361,5999,199,1,恒流恒压充电
3361,5999,204,1,恒流恒压充电
3361,5999,209,1,恒流恒压充电
3361,5999,214,1,恒流恒压充电
3361,5999,219,1,恒流恒压充电
3361,5999,224,1,恒流恒压充电
3362,5999,229,1,恒流恒压充电
3362,5999,234,1,恒流恒压充电
3362,5999,239,1,恒流恒压充电
3362,5999,244,1,恒流恒压充电
3362,5999,249,1,恒流恒压充电
3363,5999,254,1,恒流恒压充电
3363,5999,259,1,恒流恒压充电
3363,5999,264,1,恒流恒压充电
3363,5999,269,1,恒流恒压充电
3363,5999,274,1,恒流恒压充电
3363,5999,279,1,恒流恒压充电
3363,5999,284,1,恒流恒压充电
3364,5999,289,1,恒流恒压充电
3364,5999,294,1,恒流恒压充电
3364,5999,299,1,恒流恒压充电
3364,5999,304,1,恒流恒压充电
3364,5999,309,1,恒流恒压充电
3364,5999,314,1,恒流恒压充电
3364,5999,319,1,恒流恒压充电
3365,5999,324,1,恒流恒压充电
3365,5999,329,1,恒流恒压充电
3365,5999,334,1,恒流恒压充电
3365,5999,339,1,恒流恒压充电
3365,5999,344,1,恒流恒压充电
3365,5999,349,1,恒流恒压充电
3365,5999,354,1,恒流恒压充电
3366,5999,359,1,恒流恒压充电
3366,5999,364,1,恒流恒压充电
3366,5999,369,1,恒流恒压充电
3366,5999,374,1,恒流恒压充电
3366,5999,379,1,恒流恒压充电
3366,5999,384,1,恒流恒压充电
3366,5999,389,1,恒流恒压充电
3366,5999,394,1,恒流恒压充电
3367,5999,399,1,恒流恒压充电
3367,5999,404,1,恒流恒压充电
3367,5999,409,1,恒流恒压充电
3367,5999,414,1,恒流恒压充电
3367,5999,419,1,恒流恒压充电
3367,5999,424,1,恒流恒压充电
3367,5999,429,1,恒流恒压充电
3367,5999,434,1,恒流恒压充电
3368,5999,439,1,恒流恒压充电
3368,5999,444,1,恒流恒压充电
3368,5999,449,1,恒流恒压充电
3368,5999,454,1,恒流恒压充电
3368,5999,459,1,恒流恒压充电
3368,5999,464,1,恒流恒压充电
3368,5999,469,1,恒流恒压充电
3368,5999,474,1,恒流恒压充电
3368,5999,479,1,恒流恒压充电
3369,5999,484,1,恒流恒压充电
3369,5999,489,1,恒流恒压充电
3369,5999,494,1,恒流恒压充电
3369,5999,499,1,恒流恒压充电
3369,5999,504,1,恒流恒压充电
3369,5999,509,1,恒流恒压充电
3369,5999,514,1,恒流恒压充电
3368,5999,519,1,恒流恒压充电
3369,5999,524,1,恒流恒压充电
3369,5999,529,1,恒流恒压充电
3370,5999,534,1,恒流恒压充电
3370,5999,539,1,恒流恒压充电
3370,5999,544,1,恒流恒压充电
3370,5999,549,1,恒流恒压充电
3370,5999,554,1,恒流恒压充电
3370,5999,559,1,恒流恒压充电
3370,5999,564,1,恒流恒压充电
3370,5999,569,1,恒流恒压充电
3370,5999,574,1,恒流恒压充电
3371,5999,579,1,恒流恒压充电
3371,5999,584,1,恒流恒压充电
3371,5999,589,1,恒流恒压充电
3371,5999,594,1,恒流恒压充电
3371,5999,599,1,恒流恒压充电
3371,5999,604,1,恒流恒压充电
3371,5999,609,1,恒流恒压充电
3371,5999,614,1,恒流恒压充电
3371,5999,619,1,恒流恒压充电
3371,5999,624,1,恒流恒压充电
3371,5999,629,1,恒流恒压充电
3372,5999,634,1,恒流恒压充电
3372,5999,639,1,恒流恒压充电
3372,5999,644,1,恒流恒压充电
3372,5999,649,1,恒流恒压充电
3372,5999,654,1,恒流恒压充电
3372,5999,659,1,恒流恒压充电
3372,5999,664,1,恒流恒压充电
3372,5999,669,1,恒流恒压充电
3372,5999,674,1,恒流恒压充电
3372,5999,679,1,恒流恒压充电
3372,5999,684,1,恒流恒压充电
3372,5999,689,1,恒流恒压充电
3373,5999,694,1,恒流恒压充电
3373,5999,699,1,恒流恒压充电
3373,5999,704,1,恒流恒压充电
3373,5999,709,1,恒流恒压充电
3373,5999,714,1,恒流恒压充电
3373,5999,719,1,恒流恒压充电
3373,5999,724,1,恒流恒压充电
3373,5999,729,1,恒流恒压充电
3373,6000,734,1,恒流恒压充电
3373,5999,739,1,恒流恒压充电
3373,5999,744,1,恒流恒压充电
3373,5999,749,1,恒流恒压充电
3373,5999,754,1,恒流恒压充电
3373,5999,759,1,恒流恒压充电
3374,5999,764,1,恒流恒压充电
3374,5999,769,1,恒流恒压充电
3374,5999,774,1,恒流恒压充电
3374,5999,779,1,恒流恒压充电
3374,5999,784,1,恒流恒压充电
3374,6000,789,1,恒流恒压充电
3374,5999,794,1,恒流恒压充电
3374,5999,799,1,恒流恒压充电
3374,5999,804,1,恒流恒压充电
3374,6000,809,1,恒流恒压充电
3374,5999,814,1,恒流恒压充电
